top - 13:24:18 up  2:13,  1 user,  load average: 0.42, 0.39, 0.39
Tasks: 210 total,   1 running, 208 sleeping,   1 stopped,   0 zombie
%Cpu(s):  7.4 us, 18.5 sy,  0.0 ni, 70.4 id,  0.0 wa,  0.0 hi,  3.7 si,  0.0 st
MiB Mem :   2908.8 total,    159.4 free,   1331.9 used,   1417.5 buff/cache
MiB Swap:   1873.3 total,   1850.4 free,     22.9 used.   1329.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    294 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc6
    295 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc7
    301 root      20   0   26720   5860   3332 S   0.0   0.2   0:00.26 systemd-udevd
    330 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 iprt-VBoxWQueue
    492 systemd+  20   0   14824   6072   5312 S   0.0   0.2   0:07.81 systemd-oomd
    493 systemd+  20   0   25396  13356   9520 S   0.0   0.4   0:00.37 systemd-resolve
    581 systemd+  20   0   89376   6440   5612 S   0.0   0.2   0:00.11 systemd-timesyn
    614 root      20   0  240008   7944   7008 S   0.0   0.3   0:00.38 accounts-daemon
    615 root      20   0    2812   1120   1036 S   0.0   0.0   0:00.04 acpid
    619 avahi     20   0    7628   3216   2884 S   0.0   0.1   0:00.12 avahi-daemon
    620 root      20   0    9492   2872   2616 S   0.0   0.1   0:00.02 cron
    622 message+  20   0   11140   6596   3844 S   0.0   0.2   0:01.61 dbus-daemon
    623 root      20   0  334820  17752  14792 S   0.0   0.6   0:01.02 NetworkManager
    628 root      20   0   82696   3952   3608 S   0.0   0.1   0:00.21 irqbalance
    639 root      20   0   41104  19648  11216 S   0.0   0.7   0:00.28 networkd-dispat
    640 root      20   0  242940  10812   7180 S   0.0   0.4   0:01.75 polkitd
    644 root      20   0  240048   7404   6744 S   0.0   0.2   0:00.06 power-profiles-
    647 syslog    20   0  222400   5088   4076 S   0.0   0.2   0:00.17 rsyslogd
    653 root      20   0  874504  36444  19160 S   0.0   1.2   0:02.86 snapd
    655 root      20   0  236368   6332   5784 S   0.0   0.2   0:00.03 switcheroo-cont
    657 root      20   0   23636   7972   6768 S   0.0   0.3   0:00.30 systemd-logind
    660 root      20   0  393044  12888  10152 S   0.0   0.4   0:00.27 udisksd
    675 root      20   0   16492   5480   4712 S   0.0   0.2   0:00.10 wpa_supplicant
    702 avahi     20   0    7440    312      0 S   0.0   0.0   0:00.00 avahi-daemon
    715 root      20   0  316940  10408   8696 S   0.0   0.3   0:00.12 ModemManager
    733 root      20   0  409792  35876   9996 S   0.0   1.2   0:01.09 glances
    770 root      20   0  118140  21036  13168 S   0.0   0.7   0:00.16 unattended-upgr
    782 root      20   0  296684   2868   2456 S   0.0   0.1   0:01.38 VBoxService
    791 root      20   0   73008  11340   9160 S   0.0   0.4   0:00.02 cupsd
    798 lp        20   0   16284   4960   4224 S   0.0   0.2   0:00.00 dbus
    841 root      20   0  172612  10624   9220 S   0.0   0.4   0:00.09 cups-browsed
    864 kernoops  20   0   13080   2368   2052 S   0.0   0.1   0:00.00 kerneloops
    867 kernoops  20   0   13080   2536   2056 S   0.0   0.1   0:00.01 kerneloops
   1004 root      20   0  241332   8984   7788 S   0.0   0.3   0:00.07 gdm3
   1052 rtkit     21   1  154000   1560   1340 S   0.0   0.1   0:00.32 rtkit-daemon
   1215 root      20   0  242344   8644   7292 S   0.0   0.3   0:00.17 upowerd
   1304 root      20   0  298184  16420  13520 S   0.0   0.6   0:00.12 packagekitd
   1491 colord    20   0  245288  11576   8088 S   0.0   0.4   0:00.17 colord
   1539 root      20   0  318164  11344   9400 S   0.0   0.4   0:00.08 gdm-session-wor
   1547 anjp      20   0   18052  10932   8220 S   0.0   0.4   0:00.63 systemd
   1548 anjp      20   0  104448   3028      0 S   0.0   0.1   0:00.00 (sd-pam)
   1554 anjp       9 -11   39568   4784   3652 S   0.0   0.2   0:00.03 pipewire
   1555 anjp      20   0   23452   4364   3260 S   0.0   0.1   0:00.04 pipewire-media-
   1556 anjp       9 -11 1684756  21440  15688 S   0.0   0.7   0:00.40 pulseaudio
   1557 anjp      20   0  308184  25984  18700 S   0.0   0.9   0:01.10 snapd-desktop-i
   1565 anjp      20   0   14324  10212   3892 S   0.0   0.3   0:01.12 dbus-daemon
   1568 anjp      20   0  240636   7548   6652 S   0.0   0.3   0:00.05 gvfsd
   1573 anjp      20   0  240880   7004   6300 S   0.0   0.2   0:00.09 gnome-keyring-d
   1577 anjp      20   0  380884   6344   5740 S   0.0   0.2   0:00.00 gvfsd-fuse
   1587 anjp      20   0  162380   6120   5632 S   0.0   0.2   0:00.00 gdm-wayland-ses
   1595 anjp      20   0  223032  13492  11784 S   0.0   0.5   0:00.06 gnome-session-b
   1596 anjp      39  19  635516  26320  13188 S   0.0   0.9   0:01.29 tracker-miner-f
   1617 anjp      20   0  537032   7536   6736 S   0.0   0.3   0:00.09 xdg-document-po
   1629 anjp      20   0  384092   6588   5960 S   0.0   0.2   0:00.01 xdg-permission-
   1640 root      20   0    2792    972    884 S   0.0   0.0   0:00.00 fusermount3
   1667 anjp      20   0   91900   5040   4604 S   0.0   0.2   0:00.00 gnome-session-c
   1680 anjp      20   0  519136  15720  12796 S   0.0   0.5   0:00.17 gnome-session-b
   1701 anjp      20   0  309576   7692   6952 S   0.0   0.3   0:00.01 at-spi-bus-laun
   1702 anjp      20   0  389740   9812   7928 S   0.0   0.3   0:00.18 gvfs-udisks2-vo
   1711 anjp      20   0    8560   4104   3636 S   0.0   0.1   0:00.04 dbus-daemon
   1715 anjp      20   0  237404   6468   5760 S   0.0   0.2   0:00.02 gvfs-gphoto2-vo
   1722 anjp      20   0  236624   6324   5808 S   0.0   0.2   0:00.02 gvfs-goa-volume
   1726 anjp      20   0  561212  22788  15684 S   0.0   0.8   0:00.08 goa-daemon
   1739 anjp      20   0  338388  13700  11784 S   0.0   0.5   0:00.07 goa-identity-se
   1744 anjp      20   0  315196   8092   7052 S   0.0   0.3   0:00.71 gvfs-afc-volume
   1751 anjp      20   0  236448   6384   5796 S   0.0   0.2   0:00.03 gvfs-mtp-volume
   1803 anjp      20   0  583024  14288  11596 S   0.0   0.5   0:00.15 gnome-shell-cal
   1809 anjp      20   0 1072092  20340  16456 S   0.0   0.7   0:00.17 evolution-sourc
   1817 anjp      20   0  840412  23756  19900 S   0.0   0.8   0:00.22 evolution-calen
   1825 anjp      20   0  156944   5948   5328 S   0.0   0.2   0:00.02 dconf-service
   1829 anjp      20   0  745920  20684  17292 S   0.0   0.7   0:00.12 evolution-addre
   1840 anjp      20   0  623748  11668   8880 S   0.0   0.4   0:00.49 xdg-desktop-por
   1847 anjp      20   0 1331668 100916  68972 S   0.0   3.4   0:02.66 xdg-desktop-por
   1854 anjp      20   0  314852   7856   6856 S   0.0   0.3   0:00.08 gvfsd-trash
   1867 anjp      20   0 2533844  23972  19176 S   0.0   0.8   0:00.13 gjs
   1869 anjp      20   0  162676   7420   6736 S   0.0   0.2   0:00.02 at-spi2-registr
   1884 anjp      20   0    2888    956    856 S   0.0   0.0   0:00.00 sh
   1886 anjp      20   0  314892  11388   6760 S   0.0   0.4   0:00.56 ibus-daemon
